a,b,weight,relationship
A,TECH,0.7607785449735279,MST
A,TFX,0.6121484406908074,MST
A,WAT,0.8106736112962873,MST
AAPL,BLK,0.5577049432414031,MST
ABBV,AWK,0.5964678462192841,MST
ABNB,WYNN,0.509167863432022,MST
ABT,BMY,0.5894860924842024,MST
ABT,UNP,0.648608648068552,MST
ACGL,EG,0.6942090862943444,MST
ACGL,HIG,0.8039891277631656,MST
ACGL,L,0.822985469212339,MST
ACN,DRI,0.5963138141671578,MST
ADBE,NDSN,0.7163570404750611,MST
ADI,CSGP,0.6162412762482931,MST
ADI,GRMN,0.6280183373472055,MST
ADI,MCHP,0.7894883398790709,MST
ADI,TXN,0.808758542131232,MST
ADM,BG,0.6688145459667738,MST
ADM,PEP,0.632086673734616,MST
ADP,LIN,0.6583078204995758,MST
ADP,MA,0.7222005275373453,MST
ADP,PAYX,0.8250331769830823,MST
ADP,ROL,0.6751956786358512,MST
ADP,TMUS,0.5554861952155284,MST
ADP,VRSK,0.7111551435265431,MST
ADSK,TYL,0.651342399276243,MST
AEE,NI,0.732837769079103,MST
AEE,WEC,0.8258597018315599,MST
AEP,SO,0.7275908713305921,MST
AES,NEE,0.5244125272399508,MST
AFL,ALL,0.7130085843555936,MST
AFL,GL,0.553797306897919,MST
AFL,MET,0.7389893058612392,MST
AFL,SNA,0.6945125605794116,MST
AIG,BRK-B,0.6801268851024641,MST
AIZ,L,0.8114709479188392,MST
AJG,BRO,0.7643484355145728,MST
AKAM,ODFL,0.5780257512811421,MST
ALB,KEY,0.5721099055306009,MST
ALGN,SYF,0.5954671477385929,MST
ALL,L,0.7813155918783129,MST
ALLE,GPC,0.7155834864991464,MST
ALLE,MAS,0.7077526902974047,MST
ALLE,MDT,0.74089884542381,MST
AMAT,KLAC,0.8912890755807716,MST
AMCR,EXPD,0.5880351315739231,MST
AMCR,REGN,0.4994058234484108,MST
AMCR,XYL,0.6592676655828019,MST
AMD,KLAC,0.6031898725595476,MST
AME,PNR,0.6525925319015607,MST
AME,TDG,0.6082659008364961,MST
AME,TDY,0.6519425848082029,MST
AMGN,ED,0.5742948410922412,MST
AMGN,HCA,0.5798211393296858,MST
AMP,BX,0.7730827501786954,MST
AMP,CAT,0.6496060214200782,MST
AMT,DOC,0.7494696834370267,MST
AMT,NVR,0.7286674798344159,MST
AMT,PSA,0.7655658111301603,MST
AMT,SBAC,0.876444229878785,MST
AMZN,CRWD,0.6569485440420431,MST
AMZN,GOOG,0.6515922793630069,MST
AMZN,META,0.5720972299379279,MST
AMZN,MSFT,0.6366693744579773,MST
ANET,AVGO,0.7104783076589543,MST
ANET,CDNS,0.7585872790592239,MST
ANET,ETN,0.8957168171055626,MST
ANET,MPWR,0.6996177895516652,MST
ANSS,SNPS,0.8735882797347525,MST
AON,BRO,0.8780327404742893,MST
AON,HIG,0.73577287951722,MST
AON,MMC,0.8405791877985253,MST
AOS,AVY,0.6282674584898443,MST
APA,OXY,0.668449607859263,MST
APD,CTVA,0.5572179500098178,MST
APH,ETN,0.8623669977698131,MST
APH,FFIV,0.5246671476094217,MST
APH,GLW,0.7381909353221249,MST
APH,TEL,0.6502195230428887,MST
APO,AXP,0.7710744109160834,MST
APO,BX,0.7924098937317993,MST
APO,HWM,0.7315467125981063,MST
APO,KKR,0.8218837939797669,MST
APTV,SWK,0.5678646325897696,MST
ARE,DOC,0.7903208991974486,MST
ATO,KVUE,0.5949658181081642,MST
ATO,LNT,0.8352064819309754,MST
AVB,BXP,0.7627549852783132,MST
AVB,EQR,0.9344900553158567,MST
AVY,CI,0.5763499912896078,MST
AVY,UPS,0.7399125108058165,MST
AWK,ED,0.8097717033970515,MST
AWK,MO,0.6653082709952775,MST
AWK,SBAC,0.7596212873708122,MST
AXON,PLTR,0.5252963706448647,MST
AXON,VMC,0.5432109204190188,MST
AXP,COF,0.7537315680640864,MST
AXP,GE,0.6654044805999545,MST
AXP,GS,0.7942596957515086,MST
AZO,ORLY,0.7942500463795895,MST
BA,EW,0.5476694027046802,MST
BAC,HBAN,0.7673710707847544,MST
BALL,PEP,0.5836006196687727,MST
BAX,HAS,0.675495031102042,MST
BBY,TJX,0.4995188521358942,MST
BDX,HII,0.7303555010017859,MST
BDX,HOLX,0.7360708733120591,MST
BEN,BLK,0.5851063258007418,MST
BEN,EMN,0.6260215876731549,MST
BF-B,HRL,0.5556602345813235,MST
BIIB,DGX,0.5082618739090172,MST
BK,NTRS,0.8192901432044659,MST
BK,WFC,0.7899640666685264,MST
BKNG,EXPE,0.5625127162070089,MST
BKNG,MS,0.5650870003131333,MST
BKR,EQT,0.6593762578503297,MST
BLDR,MAS,0.8458291559448378,MST
BLK,IVZ,0.6252860372871428,MST
BLK,STT,0.6710464139707397,MST
BMY,GILD,0.4927718905664058,MST
BR,MMM,0.6679863389233177,MST
BR,VRSK,0.6788583901806633,MST
BRK-B,L,0.7746265575301923,MST
BRO,WM,0.6464171508402374,MST
BRO,WTW,0.690963509407427,MST
BSX,LYV,0.5880156290407438,MST
BSX,NDAQ,0.5928821801306392,MST
BSX,PODD,0.5908392435138045,MST
BWA,CZR,0.619523643015384,MST
BX,NOW,0.6383516585621546,MST
BXP,DOC,0.7461676557996162,MST
C,GS,0.8121380085394763,MST
CAG,GIS,0.8124676253724854,MST
CAH,COR,0.6511638416647896,MST
CARR,DOV,0.6866066680065627,MST
CARR,DXCM,0.6094030769383219,MST
CARR,MSCI,0.5899369622947153,MST
CB,TRV,0.803250860485366,MST
CBOE,PG,0.5247445212761125,MST
CBRE,CSGP,0.6516774281765562,MST
CBRE,GS,0.7410002538933096,MST
CBRE,IT,0.6878526940297193,MST
CBRE,MCO,0.7273580521525486,MST
CBRE,SYK,0.6415450076099445,MST
CCI,O,0.8123782358098073,MST
CCI,PEP,0.7256042859069824,MST
CCI,SBAC,0.8428425838424795,MST
CCI,TSN,0.7126098628322105,MST
CCL,NCLH,0.8296849526514126,MST
CCL,RCL,0.8487718717972466,MST
CDNS,SNPS,0.850764666033798,MST
CDW,KEYS,0.5673900633169401,MST
CDW,QCOM,0.5691169355737533,MST
CE,IFF,0.6697988349163405,MST
CEG,VST,0.7884030967939568,MST
CEG,WBA,0.37871019073080026,MST
CF,MOS,0.672351206519766,MST
CFG,HBAN,0.8888213675569212,MST
CFG,KEY,0.815479045265957,MST
CHD,CL,0.7284650004417891,MST
CHD,CME,0.5720054956315023,MST
CHD,COR,0.5894711916050256,MST
CHRW,PARA,0.5053827172735452,MST
CHRW,UPS,0.6566256442051347,MST
CHTR,CMCSA,0.8049426950588818,MST
CINF,L,0.7520894244336559,MST
CL,KMB,0.7641091989666736,MST
CLX,MRK,0.6748445698606185,MST
CLX,PEP,0.720470281484967,MST
CMCSA,UPS,0.6241043015172713,MST
CME,KR,0.41951114352804497,MST
CMG,MAR,0.547498737770213,MST
CMI,DLR,0.7211370723882092,MST
CMS,LNT,0.8076759686504936,MST
CNC,MOH,0.8013428854018945,MST
CNP,EVRG,0.6866053047848814,MST
COF,DFS,0.9653096978599731,MST
COF,NFLX,0.6078714255133055,MST
COO,IR,0.5422327771761856,MST
COP,HES,0.7881795466395065,MST
COR,MCK,0.6938351776020613,MST
COST,WMT,0.7387058026039447,MST
CPAY,VMC,0.6704738113247707,MST
CPB,MDLZ,0.7081938568827985,MST
CPB,SJM,0.7737619550463789,MST
CPRT,CTSH,0.6081276425125562,MST
CPRT,MCO,0.7127773092533698,MST
CPRT,ODFL,0.5750335367277449,MST
CPT,INVH,0.739742639893112,MST
CPT,MAA,0.9078271075094537,MST
CRL,IQV,0.7275920777255277,MST
CRM,EW,0.5252548464816945,MST
CRM,NOW,0.6716714461187747,MST
CRWD,FTNT,0.7648823091872432,MST
CSCO,TT,0.7485319915634157,MST
CSX,IFF,0.5656016069789584,MST
CSX,NSC,0.8482521493866599,MST
CTAS,LW,0.5837999891594103,MST
CTAS,SHW,0.5177681157279835,MST
CTRA,DVN,0.7090861104856242,MST
CTRA,EQT,0.8017274725466413,MST
CTSH,KMX,0.5957054696236764,MST
CTVA,DE,0.6352441545674758,MST
CTVA,MOS,0.6379041588689188,MST
CTVA,SWK,0.6667886418292065,MST
CVS,HUM,0.5482518269952364,MST
CVX,HES,0.9685233685869089,MST
CZR,MGM,0.7396942713908037,MST
D,WEC,0.763505581577221,MST
DAL,UAL,0.8347946600558267,MST
DAY,IEX,0.6550392121925425,MST
DAY,UBER,0.47049928197341684,MST
DD,ECL,0.7281882792736204,MST
DD,INTC,0.558923384161172,MST
DECK,GWW,0.6304144684938853,MST
DECK,RMD,0.6872022922591625,MST
DELL,ETN,0.6777560599563661,MST
DELL,NTAP,0.5911305060194699,MST
DELL,SMCI,0.7777568459264353,MST
DFS,SYF,0.7867005140834448,MST
DG,DLTR,0.5800369636006039,MST
DGX,LH,0.7280918624427154,MST
DGX,SO,0.6841422190731561,MST
DHI,LEN,0.9359169874683241,MST
DHI,PHM,0.9155179124945335,MST
DHI,SOLV,0.5393535122871609,MST
DHR,PKG,0.6668855416577509,MST
DIS,PRU,0.5009822322404719,MST
DLR,EQIX,0.8121863074526094,MST
DLR,JCI,0.6543661561561165,MST
DLR,TT,0.800480127555694,MST
DLTR,TGT,0.5927685503668272,MST
DOC,VTR,0.6837824538228949,MST
DOV,EMR,0.7356558149981421,MST
DOV,IR,0.6958594519987502,MST
DOV,NEM,0.5806781338175133,MST
DOV,PH,0.7811611208248525,MST
DOW,LYB,0.7416214805679163,MST
DOW,UPS,0.6973300442400177,MST
DPZ,EMR,0.6188972468173672,MST
DRI,FDS,0.5910936770061539,MST
DTE,WEC,0.8209107748233178,MST
DUK,SO,0.8282583724098712,MST
DVA,GDDY,0.6538433420492095,MST
DVA,MSI,0.6258015629119877,MST
DVN,EOG,0.8105122204314154,MST
DVN,FANG,0.8285291697052634,MST
DVN,OXY,0.8052602056869497,MST
EA,LDOS,0.5064233811490428,MST
EBAY,FE,0.6074529664706209,MST
ECL,SPGI,0.7622655384636456,MST
ED,WEC,0.804744914837723,MST
EFX,PTC,0.7061373806609215,MST
EFX,SNA,0.7244103777809953,MST
EIX,PCG,0.7807834097421692,MST
EL,MRK,0.6157572672344892,MST
ELV,MOH,0.7882751570580888,MST
ELV,UNH,0.6476787981648158,MST
EMR,FTV,0.7245950566692798,MST
EMR,ROK,0.5380874848486943,MST
ENPH,FSLR,0.5125931797859213,MST
ENPH,HPQ,0.49324129814040063,MST
EOG,HES,0.7915938512662032,MST
EPAM,JPM,0.586624384464497,MST
EPAM,WMT,0.6187647011457562,MST
EQIX,IRM,0.6374076758858445,MST
EQR,ESS,0.9198360095276216,MST
EQR,UDR,0.9256353265386338,MST
EQT,TRGP,0.7060806458086815,MST
ERIE,L,0.6426849671352077,MST
ES,WEC,0.7484769787759464,MST
ETN,GEV,0.8705689627017952,MST
ETN,HUBB,0.8722591283641891,MST
ETN,JBL,0.6423803714363028,MST
ETN,KLAC,0.6692482503843815,MST
ETN,ORCL,0.8176311819474865,MST
ETN,PWR,0.8659025307445994,MST
ETR,PEG,0.7619158412851371,MST
EVRG,ICE,0.6472716285560938,MST
EVRG,LNT,0.8375350722755368,MST
EVRG,NEE,0.679022962364711,MST
EVRG,PPL,0.8174405113780795,MST
EXC,SO,0.7790302251141838,MST
EXPD,ITW,0.6327231721316039,MST
EXPD,UNP,0.6314353898401462,MST
EXPE,TTWO,0.7036457477672916,MST
EXR,PSA,0.8735278404508564,MST
EXR,WY,0.7048505665585656,MST
F,SNA,0.701988798665847,MST
F,ZBH,0.5936705117697384,MST
FAST,GWW,0.6833230468961898,MST
FAST,PCAR,0.5922329022616727,MST
FCX,NEM,0.6347864102278769,MST
FDS,V,0.6035029894285061,MST
FDX,ODFL,0.4966355950246515,MST
FE,VTRS,0.8313009389319184,MST
FFIV,SBUX,0.5654717153645786,MST
FI,JCI,0.5854255868581327,MST
FICO,GEN,0.5860441995549521,MST
FIS,MAR,0.699961462412925,MST
FITB,MTB,0.884649961506212,MST
FITB,TFC,0.865021552282273,MST
FMC,IEX,0.7983426216548873,MST
FMC,MKTX,0.6601945555652116,MST
FOX,FOXA,0.9822856854189027,MST
FOX,LYV,0.4356690046029208,MST
FRT,KIM,0.8698180440211661,MST
FRT,REG,0.8850916546475429,MST
FTNT,PANW,0.7247892995099245,MST
GD,LDOS,0.47080479158319144,MST
GD,LHX,0.6818603421826203,MST
GD,RTX,0.6497183770478154,MST
GDDY,IR,0.6744010786430962,MST
GEHC,MGM,0.6603002342937453,MST
GEN,IT,0.5976608075935751,MST
GEV,NVDA,0.8019729715549337,MST
GEV,VST,0.892248757173422,MST
GIS,HRL,0.690684098085224,MST
GIS,KHC,0.810668178692585,MST
GIS,MKC,0.6841501745068576,MST
GIS,PEP,0.786857120061792,MST
GIS,SJM,0.8047900200724403,MST
GM,LUV,0.5606200854671317,MST
GM,SWK,0.5460108837565744,MST
GNRC,GPN,0.45993405957027367,MST
GOOG,GOOGL,0.9988578376522712,MST
GOOG,TSLA,0.6160928123955043,MST
GPC,ORLY,0.5709470341370484,MST
GPC,VRSN,0.502170664787465,MST
GPN,GS,0.5432371623401436,MST
GS,ISRG,0.6257158567240233,MST
GS,JPM,0.8085155018748352,MST
GS,MS,0.8833100480365771,MST
GS,TRMB,0.7247946517289975,MST
GS,VMC,0.7630335075341173,MST
GS,WFC,0.8391596914049999,MST
GWW,PPG,0.6474317354124075,MST
GWW,SHW,0.7071818477817271,MST
HAL,HES,0.7642013705619022,MST
HAL,SLB,0.8069932606643495,MST
HAS,LKQ,0.6193014710898174,MST
HBAN,RF,0.8845947376728553,MST
HCA,UHS,0.8883068158259184,MST
HD,LOW,0.9010318809772329,MST
HES,XOM,0.7918477533127086,MST
HIG,PGR,0.7131192002111238,MST
HIG,TRV,0.8004320511995662,MST
HII,HON,0.6213167653934052,MST
HII,MOH,0.5873498202513221,MST
HII,SWKS,0.7920943374946148,MST
HLT,JPM,0.609046838886033,MST
HLT,MAR,0.7162733639236591,MST
HPE,SYF,0.5942417987206196,MST
HPE,ULTA,0.48741819051305013,MST
HPQ,MRNA,0.3620220044298834,MST
HPQ,NTAP,0.6614154294319774,MST
HSIC,SBUX,0.5868450112709332,MST
HST,JPM,0.5956372759973261,MST
HST,PAYC,0.5554312299550729,MST
HSY,KHC,0.7232263585387089,MST
HUBB,TT,0.8505819744333705,MST
HUM,UNH,0.586314398246942,MST
HWM,TT,0.7180621339229952,MST
IBM,LVS,0.6228959548814138,MST
IBM,WM,0.6827226034530766,MST
ICE,YUM,0.7398099000348247,MST
IDXX,RMD,0.41331521321907794,MST
IEX,MTCH,0.6122745563183649,MST
IEX,TROW,0.6972926204782387,MST
IEX,VLTO,0.7263197383977424,MST
INCY,REGN,0.5129789805214724,MST
INTU,WDAY,0.5492243611664263,MST
IP,RJF,0.6017237678417493,MST
IPG,MTCH,0.5310683201742897,MST
IQV,LLY,0.46578625538183904,MST
IQV,STE,0.5980416389362909,MST
IQV,TECH,0.7711450590473655,MST
ITW,LMT,0.6408615476564726,MST
ITW,OTIS,0.7487787424335695,MST
ITW,PLD,0.7014059405968307,MST
ITW,TXT,0.7127793088728112,MST
ITW,VICI,0.7151787942543866,MST
IVZ,RCL,0.6088018156038122,MST
J,PNR,0.6545752721181414,MST
JBHT,STT,0.5965382459205685,MST
JKHY,PEP,0.5988367940463835,MST
JNJ,PFE,0.6435322629626521,MST
JNJ,SJM,0.6910019321385739,MST
JNPR,LMT,0.46664926721616706,MST
JPM,NWSA,0.5881103663371094,MST
K,PPL,0.49914786244195886,MST
KDP,PEP,0.8110866019805673,MST
KHC,STZ,0.6053053093537979,MST
KIM,SPG,0.7328209679964052,MST
KIM,UDR,0.7887164605969826,MST
KKR,PNR,0.7454942428448592,MST
KKR,PYPL,0.6521896790257351,MST
KLAC,LRCX,0.853914283464226,MST
KMB,PG,0.7943986714754572,MST
KMB,SO,0.6843463262608964,MST
KMI,PEG,0.7975766256157776,MST
KMI,WMB,0.8884635195243332,MST
KO,SO,0.6919299283698153,MST
KVUE,MNST,0.584014614171658,MST
LH,RVTY,0.6033885330363007,MST
LHX,LMT,0.7741424192172508,MST
LII,PKG,0.712429424329101,MST
LKQ,PPG,0.5582051315739559,MST
LMT,NOC,0.7173372117482162,MST
LMT,SYY,0.5895090327484593,MST
LNT,PNW,0.8204839810240266,MST
LNT,WEC,0.8523668468754436,MST
LNT,XEL,0.8376697204195283,MST
LOW,MAS,0.7902641580844112,MST
LOW,SHW,0.7289895067487787,MST
LOW,TGT,0.45500256680709206,MST
LRCX,MU,0.7549552038168783,MST
LULU,ULTA,0.5251436537974965,MST
LUV,UAL,0.5527901797701121,MST
LVS,WYNN,0.7062338588569199,MST
LW,VRTX,0.6433042646525603,MST
LYV,SRE,0.5852345301745066,MST
MA,V,0.8660897716869715,MST
MAA,UDR,0.9097225933721574,MST
MAS,MHK,0.7733937725105544,MST
MAS,NVR,0.8044873109173285,MST
MAS,SWK,0.7465052228508784,MST
MCD,YUM,0.5914665103935098,MST
MCHP,NXPI,0.8011144784081312,MST
MCO,MGM,0.6456078234098648,MST
MCO,NDAQ,0.6953456172588165,MST
MCO,SPGI,0.8348132170963217,MST
MCO,TYL,0.6790023822355837,MST
MET,PRU,0.721138629662164,MST
MLM,SW,0.6423380243333505,MST
MLM,VMC,0.8768550571479193,MST
MO,VZ,0.6068738281044501,MST
MPC,PSX,0.8513385798775813,MST
MPC,VLO,0.8815185854451107,MST
MPC,XOM,0.7648328840298607,MST
MS,RJF,0.841590675818492,MST
MSCI,PKG,0.6294956818530717,MST
MSFT,NOW,0.781049743746029,MST
MSFT,TER,0.6252558345203157,MST
MTB,PNC,0.8708441764484577,MST
MTB,RF,0.8640571474072148,MST
MTB,USB,0.8323831469004425,MST
MTB,WFC,0.7951568191598604,MST
MTD,RVTY,0.7925518018096561,MST
MU,WDC,0.7564336809953232,MST
NDSN,POOL,0.6812798079580914,MST
NI,WMB,0.7420783387691828,MST
NKE,SNA,0.5039834901815956,MST
NOW,UPS,0.6420854537505817,MST
NOW,WDAY,0.5423262055602718,MST
NRG,VST,0.873813438833576,MST
NSC,UNP,0.7205932440080801,MST
NTRS,STT,0.7947920570707161,MST
NUE,STLD,0.915790396351762,MST
NUE,WY,0.5576371064938663,MST
NVR,PHM,0.8781392606559951,MST
NVR,POOL,0.7612370673046894,MST
NWS,NWSA,0.931446822987184,MST
NXPI,ON,0.7467543912102762,MST
O,VICI,0.7793177258828342,MST
OKE,TRGP,0.8647738546583544,MST
OMC,PRU,0.5904740075028151,MST
PARA,WBD,0.6415238207437063,MST
PCG,XEL,0.5734234725556652,MST
PEG,VST,0.7700425603964342,MST
PFG,PRU,0.6778634741291559,MST
PH,URI,0.652593535633836,MST
PH,VMC,0.7010832154060277,MST
PM,YUM,0.779696109064688,MST
PNC,PRU,0.7377599692836413,MST
PRU,TROW,0.7013271702419274,MST
PTC,SWKS,0.7717135581870745,MST
QCOM,WDC,0.6509543800821999,MST
RJF,RL,0.5865748900613288,MST
RL,TPR,0.8178877217393742,MST
ROP,WM,0.651128948322908,MST
ROST,TJX,0.5482369260088988,MST
RSG,WM,0.8022259749032298,MST
RVTY,TECH,0.7402567135693777,MST
RVTY,TMO,0.6942442873404712,MST
SBAC,ZTS,0.5656939815213108,MST
SCHW,SPGI,0.6155134256022096,MST
SHW,TJX,0.6050122090120795,MST
SO,WEC,0.8216756931769096,MST
STX,TEL,0.7108558644918392,MST
SW,WAB,0.6507113521555816,MST
T,VZ,0.6238330561285605,MST
TAP,VTR,0.6172523068748798,MST
TFX,VTRS,0.9005024570416146,MST
TPL,TRGP,0.6024858459178951,MST
TRGP,WMB,0.810093011329662,MST
TRMB,ZBRA,0.5564699646179545,MST
TRV,WRB,0.7620879130673727,MST
TSCO,UPS,0.5539486283207197,MST
VRSK,XEL,0.7085043466063345,MST
VTR,WELL,0.7585100995938767,MST
WST,ZBRA,0.5330204780468946,MST
